object_id	image name	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	Slice	FeretX	FeretY	FeretAngle	MinFeret	Length (pixel)	Length (mm)
127_n1_gr_d8_1_1_229	127_n1_gr_d8_1_1_229.jpg	315	104.857	25.846	78	205	0	0	0	314.701	1	126	391	86.174	0.955	314.701	3.3358306
127_n1_gr_d8_1_1_246	127_n1_gr_d8_1_1_246.jpg	92	192.826	13.406	153	222	0	0	0	91.049	1	60	60	141.242	0.384	91.049	0.9651194
127_n1_gr_d8_1_1_264	127_n1_gr_d8_1_1_264.jpg	244	109.93	29.796	70	172	0	0	0	243.313	1	72	70	157.018	0.076	243.313	2.5791178
127_n1_gr_d8_1_1_282	127_n1_gr_d8_1_1_282.jpg	287	131.885	24.005	88	237	0	0	0	286.575	1	172	242	100.251	1.244	286.575	3.037695
127_n1_gr_d8_1_1_35	127_n1_gr_d8_1_1_35.jpg	104	215.712	13.936	179	241	0	0	0	103.73	1	48	126	56.004	0.006	103.73	1.099538
127_n1_gr_d8_1_1_48	127_n1_gr_d8_1_1_48.jpg	45	202.489	11.299	185	232	0	0	0	44.944	1	47	84	122.276	0.176	44.944	0.4764064
127_n1_gr_d8_1_1_60	127_n1_gr_d8_1_1_60.jpg	190	121.795	34.721	84	234	0	0	0	189.708	1	60	165	33.606	0.352	189.708	2.0109048
127_n1_gr_d8_1_1_73	127_n1_gr_d8_1_1_73.jpg	237	139.025	12.022	120	189	0	0	0	236.966	1	74	339	73.324	0.728	236.966	2.5118396
127_n1_gr_d8_1_1_85	127_n1_gr_d8_1_1_85.jpg	281	135.221	27.283	87	188	0	0	0	280.665	1	172	109	129.361	0.68	280.665	2.975049
127_n1_gr_d8_2_1_127	127_n1_gr_d8_2_1_127.jpg	31	207.484	13.137	188	235	0	0	0	30.414	1	16	19	133.668	0.089	30.414	0.3223884
127_n1_gr_d8_2_1_14	127_n1_gr_d8_2_1_14.jpg	362	91.572	22.563	65	174	0	0	0	361.311	1	176	227	159.759	1.517	361.311	3.8298966
127_n1_gr_d8_2_1_229	127_n1_gr_d8_2_1_229.jpg	134	181.075	19.293	146	223	0	0	0	133.135	1	42	82	18.843	0.364	133.135	1.411231
127_n1_gr_d8_2_1_278	127_n1_gr_d8_2_1_278.jpg	102	205.422	18.096	162	235	0	0	0	101.922	1	29	45	164.055	0.097	101.922	1.0803732
127_n1_gr_d8_2_1_288	127_n1_gr_d8_2_1_288.jpg	990	219.217	21.647	112	255	0	0	0	897.325	1	110	936	59.606	153.44	989.705	10.490873
127_n1_gr_d8_2_1_320	127_n1_gr_d8_2_1_320.jpg	123	193.309	15.495	163	228	0	0	0	122.674	1	79	128	49.297	0.434	122.674	1.3003444
127_n1_gr_d8_2_1_349	127_n1_gr_d8_2_1_349.jpg	200	169.16	18.664	138	255	0	0	0	199.812	1	124	271	84.832	0.588	199.812	2.1180072
127_n1_gr_d8_2_1_378	127_n1_gr_d8_2_1_378.jpg	62	180.468	24.661	150	230	0	0	0	61.4	1	40	91	59.676	0.189	61.4	0.65084
127_n1_gr_d8_2_1_386	127_n1_gr_d8_2_1_386.jpg	37	157.324	14.763	141	209	0	0	0	36.878	1	16	39	40.601	0.065	36.878	0.3909068
127_n1_gr_d8_2_1_397	127_n1_gr_d8_2_1_397.jpg	191	213.796	20.81	179	255	0	0	0	148.519	1	30	48	121.228	46.625	190.233	2.0164698
127_n1_gr_d8_2_1_404	127_n1_gr_d8_2_1_404.jpg	251	164.785	36.058	111	234	0	0	0	250.32	1	71	399	45.324	0.77	250.32	2.653392
127_n1_gr_d8_3_1_122	127_n1_gr_d8_3_1_122.jpg	96	215.615	16.599	169	255	0	0	0	95.52	1	60	37	160.427	0.122	95.52	1.012512
127_n1_gr_d8_3_1_126	127_n1_gr_d8_3_1_126.jpg	92	155.533	18.638	137	226	0	0	0	91.198	1	23	42	176.228	0.362	91.198	0.9666988
127_n1_gr_d8_3_1_176	127_n1_gr_d8_3_1_176.jpg	2126	186.341	20.276	115	233	0	0	0	2125.22	1	354	2001	51.189	6.996	2125.22	22.527332
127_n1_gr_d8_3_1_230	127_n1_gr_d8_3_1_230.jpg	255	109.412	24.976	83	233	0	0	0	254.348	1	268	265	23.642	0.632	254.348	2.6960888
