sample_ship	sample_program	sample_stationid	Haul	Region	Detail_Location	Comment	object_date	object_time	object_lat	object_lon	sample_bottomdepth	object_depth_min	object_depth_max	sample	sample_tot_vol	acq_sub_part	object_annotation_hierarchy	object_annotation_category	object_annotation_person_name	Number	sample_id	object_id	object_area	object_major	object_minor	object_area_exc	process_particle_pixel_size_mm
Polarstern	PS78	PS78_044	4	Fram Strait	44	NA	20110629	210000	78.835	0.078833	2631.2	500	1000	44_n2	125	2	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>Calanoida>Aetideidae	Aetideidae	Astrid Cornils	2	44_n2_gr	NA	33497.5	301.17	131.64	29232.3	0.0106
Polarstern	PS78	PS78_054	5	Fram Strait	54	NA	20110701	184700	78.832167	-1.982333	2715.2	1000	1500	54_n1	140	2	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>Calanoida>Aetideidae	Aetideidae	Astrid Cornils	1	54_n1_gr	NA	16457.84615	208.6423077	90.35384615	15855.5	0.0106
Polarstern	PS78	PS78_054	5	Fram Strait	54	NA	20110701	184700	78.832167	-1.982333	2715.2	200	500	54_n3	76	4	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>Calanoida>Aetideidae	Aetideidae	Astrid Cornils	1	54_n3_gr	NA	18173.98077	221.2769231	94.76538462	17407.88462	0.0106
Polarstern	PS78	PS78_054	5	Fram Strait	54	NA	20110701	184700	78.832167	-1.982333	2715.2	200	500	54_n3	76	8	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>Calanoida>Aetideidae	Aetideidae	Astrid Cornils	1	54_n3_kl	NA	2493.210526	79.44210526	39.41578947	2471.157895	0.0106
Polarstern	PS78	PS78_054	5	Fram Strait	54	NA	20110701	184700	78.832167	-1.982333	2715.2	1000	1500	54_n1	140	2	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>Calanoida>Aetideidae>Aetideopsis>Aetideopsis rostrata	Aetideopsis rostrata	Astrid Cornils	1	54_n1_gr	NA	33024	318.6	132	32382	0.0106
Polarstern	PS78	PS78_127	7	Fram Strait	127	NA	20110710	132500	78.825	8.007667	1026.7	200	500	127_n2	82	2	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Hydrozoa>Trachylina>Trachymedusae>Rhopalonematidae>Aglantha>Aglantha digitale	Aglantha digitale	Astrid Cornils	1	127_n2_gr	NA	444800	905.175	569.4285714	359011.5357	0.0106
Polarstern	PS78	PS78_039	5	Fram Strait	39	NA	20110629	41200	78.838	1.7895	2558	500	1000	39_n2	125	2	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Hydrozoa>Trachylina>Trachymedusae>Rhopalonematidae>Aglantha>Aglantha digitale	Aglantha digitale	Astrid Cornils	1	39_n2_gr	NA	444800	905.175	569.4285714	359011.5357	0.0106
Polarstern	PS78	PS78_044	4	Fram Strait	44	NA	20110629	210000	78.835	0.078833	2631.2	1000	1500	44_n1	125	2	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>Calanoida>Augaptilidae	Augaptilidae	Astrid Cornils	1	44_n1_gr	NA	23812.3	237.87	112.07	22847	0.0106
Polarstern	PS78	PS78_127	7	Fram Strait	127	NA	20110710	132500	78.825	8.007667	1026.7	200	500	127_n2	82	4	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>badfocus	badfocus<Copepoda	Astrid Cornils	2	127_n2_kl	NA	936.1707317	48.44878049	24.44878049	921.5121951	0.0106
Polarstern	PS78	PS78_127	7	Fram Strait	127	NA	20110710	132500	78.825	8.007667	1026.7	50	100	127_n4	14	2	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>badfocus	badfocus<Copepoda	Astrid Cornils	2	127_n4_kl	NA	931.1730769	50.49230769	23.26923077	928.1538462	0.0106
Polarstern	PS78	PS78_127	7	Fram Strait	127	NA	20110710	132500	78.825	8.007667	1026.7	0	50	127_n5	12	16	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>badfocus	badfocus<Copepoda	Astrid Cornils	4	127_n5_kl	NA	887.220339	49.6559322	22.68813559	886.0847458	0.0106
Polarstern	PS78	PS78_019	5	Fram Strait	19	NA	20110625	182200	78.837333	6.018833	2462	1000	1500	19_n1	110	4	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>badfocus	badfocus<Copepoda	Astrid Cornils	3	19_64_n1	NA	897.04	47.586	23.819	893.69	0.0106
Polarstern	PS78	PS78_019	5	Fram Strait	19	NA	20110625	182200	78.837333	6.018833	2462	1000	1500	19_n1	110	4	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>badfocus	badfocus<Copepoda	Astrid Cornils	1	19_n1_64_150	NA	420.4538462	32.33	16.28923077	419.9615385	0.0106
Polarstern	PS78	PS78_019	5	Fram Strait	19	NA	20110625	182200	78.837333	6.018833	2462	50	200	19_n4	35	16	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>badfocus	badfocus<Copepoda	Astrid Cornils	2	19_64_n4	NA	962.816092	48.31954023	25.06091954	960.8735632	0.0106
